seller_id,buyer_id,title,description,price,location,status,image_urls
2,, Lee posh Lactic Acid 60% Anti ageing Pigmentation Removing Glow Peel ,"PROFESSIONAL GRADE Face Peel: this peel stimulates collagen production, reducing the appearance of wrinkles, fine lines, and hyper pigmentation in the skin by increasing cell regeneration Highly effective professional strength superficial solution Read direction for use on bottle of product & if any query call customer care",13,"(48.431,123.592)",AVAILABLE,"{https://api.dicebear.com/8.x/bottts/svg?seed=48.431,https://api.dicebear.com/8.x/bottts/svg?seed=123.5921,https://api.dicebear.com/8.x/bottts/svg?seed=48.4312}"
3,, Branded SLB Works New 1.5mm Titanium 1200 needles Microneedles Meso Derma Roller Acne Scar Skin S B6M6 ,"Item name: 1.5mm titanium 1200 needles microneedles meso derma roller acne scar skin s b6m6 1.5mm titanium 1200 needles microneedles meso derma roller acne scar skin s b6m6 handle color: black roll color: green packing list: 1 * microneedle roller skin; 1 * case stimulate collagen production. To smooth out acne scars improves skin elasticity. Opening and reduce reafirmante disinfect before using. Do not use on irritated or infected skin, fungal skin infections, active acne, rosacea, eczema, etc. Be careful when walking around delos eyes. Do not use on eyelids and lips. Hold the derma roller away from possible sources of contamination. Keep it in its case when not in use not use, if the following symptoms purulent inflammation of the skin. If you suffer from diabetes and severe hypertension. Note: light shooting and different displays may cause the color of the item in the picture a little different from the real thing. The measurement allowed error is +/- 1-3 cm.",33,"(48.281,123.383)",AVAILABLE,"{https://api.dicebear.com/8.x/bottts/svg?seed=48.281,https://api.dicebear.com/8.x/bottts/svg?seed=123.3831,https://api.dicebear.com/8.x/bottts/svg?seed=48.2812}"
4,, Generic 1 Pc brand snail eye cream remove dark circle eye lifting instant ageless snail cream for eye care anti wrinkle eyes cream 20g ,"Use: eye, item type: cream, net wt: 20g, gzzz: ygzwbz, model number: lkwnys, gender: female, certification: gzzz, feature: moisturizing, dark circle, anti-puffiness, anti-aging, brand name: laikou, certificate number: 2014028630, ingredient: cream, country/region of manufacture: china, eye care features: eye cream, product name: snail extract cream, applicable to the crowd: general, specifications: normal specifications, origin: shantou, guangdong province, unit type: piece, package weight: ,package size:",17,"(48.352,123.271)",AVAILABLE,"{https://api.dicebear.com/8.x/bottts/svg?seed=48.352,https://api.dicebear.com/8.x/bottts/svg?seed=123.2711,https://api.dicebear.com/8.x/bottts/svg?seed=48.3522}"
5,, Generic Anti Snoring Snore Stopper Sleep Apnea Solution Lips Plasters Soft Space Cotton ,"Prevent the tongue from dropping backward or block the airway. 2. Help to develop a habit of breathing with nose instead of mouth. 3. Solve the problem of feeling dry when you wake up in the morning. 4. Super soft space cotton, comfortable and skin friendly. 5. Strong stickiness without mark after application. Description: Item Type: Anti Snore Strap Material: Space cotton Quantity: 36pcs Package Included: 1 X Case of Anti Snore Strap",22,"(48.482,123.465)",AVAILABLE,"{https://api.dicebear.com/8.x/bottts/svg?seed=48.482,https://api.dicebear.com/8.x/bottts/svg?seed=123.4651,https://api.dicebear.com/8.x/bottts/svg?seed=48.4822}"
2,, Harveys Crunchy & Creame Gourmet Delicacies Cream Wafer Biscuit 110 g Pouch Pack - Chocolate Flavoured (Pack of 6) ,Harvey's wafer Cream Wafer 110g. Made in India,9,"(48.472,123.587)",AVAILABLE,"{https://api.dicebear.com/8.x/bottts/svg?seed=48.472,https://api.dicebear.com/8.x/bottts/svg?seed=123.5871,https://api.dicebear.com/8.x/bottts/svg?seed=48.4722}"
3,," Shikai Borage Dry Skin Therapy Foot Cream, 4.2 Ounce Tubes (Pack Of 3) ","Package Quantity:3 Contains borage oil, clinically proven to relieve the symptoms of chronic dry skin.Helps dry, cracked feet & heels. Safe for diabetics. No animal ingredients or testing",86,"(48.295,123.221)",AVAILABLE,"{https://api.dicebear.com/8.x/bottts/svg?seed=48.295,https://api.dicebear.com/8.x/bottts/svg?seed=123.2211,https://api.dicebear.com/8.x/bottts/svg?seed=48.2952}"
4,, Black & Tan Beer Soap 4-Pack ,"Our handmade soaps are made with the highest grade glycerin, top grade essential oils, fragrance oils and natural botanicals. Lather up & enjoy! Who knew soap could be so much fun",116,"(48.419,123.342)",AVAILABLE,"{https://api.dicebear.com/8.x/bottts/svg?seed=48.419,https://api.dicebear.com/8.x/bottts/svg?seed=123.3421,https://api.dicebear.com/8.x/bottts/svg?seed=48.4192}"
5,," Mydio 2 Pack Waterproof Women Shower Caps Bath Cap,Double Layer Satin Lined Shower Cap for Women ","Mydio 2 Pack Waterproof Women Shower Caps Bath Cap,Double Layer Satin Lined Shower Cap for Women",27,"(48.429,123.317)",AVAILABLE,"{https://api.dicebear.com/8.x/bottts/svg?seed=48.429,https://api.dicebear.com/8.x/bottts/svg?seed=123.3171,https://api.dicebear.com/8.x/bottts/svg?seed=48.4292}"
2,, Food Studio Premium Quality in Shell Pistachios Pack of 2 (200gm Each) ,"Pistachios are small in appearance and are enclosed in hard, nutty shells. Once you break open these shells, you can find the actual pistachio nuts which are light-green or light-brown. A common way of eating pistachios is by roasting or salting them and is often eaten as snacks. We at Food Studio strive to provide our customers with the most premium quality of pistachios by ensuring a bigger shell size along with a brighter shell color, which isn’t easily available in the market.",11,"(48.597,123.409)",AVAILABLE,"{https://api.dicebear.com/8.x/bottts/svg?seed=48.597,https://api.dicebear.com/8.x/bottts/svg?seed=123.4091,https://api.dicebear.com/8.x/bottts/svg?seed=48.5972}"
3,," Dr Glutens Gluten Free Khracker (KHAKHRA) - 200g , Pack of 5 (GOL Gappa Khakhra, Certified Gluten Free) ","GLUTEN FREE KHAKHRAS. LIGHT HEALTHY AND ROASTED. ANYTIME SNACK. MADE IN 100% GLUTEN FREE FACILITY BY INDIA'S LEADING GLUTEN FREE BRAND Dr. Gluten,Mildly spiced, Non fried whole wheat crisps with the flavor of Gol- Gappa",4,"(48.296,123.235)",AVAILABLE,"{https://api.dicebear.com/8.x/bottts/svg?seed=48.296,https://api.dicebear.com/8.x/bottts/svg?seed=123.2351,https://api.dicebear.com/8.x/bottts/svg?seed=48.2962}"
